Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
PURA,X11,PoW,175215859.0,350000000.0,-0.22036147712779927,-0.9343433483761142,0.11031236387404421,2,Pura
INN,NeoScrypt,PoW,6375259.04,45000000.0,-0.18098724247209294,-1.636465852930223,0.2430517507304142,2,Innova
ELLA,Ethash,PoW,12756367.0,280000000.0,-0.14828508614617303,-1.981046564959438,0.3955370940061094,2,Ellaism
GBX,NeoScrypt,PoW,5832306.875,31800000.0,-0.18108780958148846,-1.6364612435644845,0.2430531555384815,2,GoByte
MAG,X11,PoW/PoS,38198594.8342105,144000000.0,-0.4119519082715244,1.1223891303475344,-0.44831909961310007,0,Magnet
TAU,DPoS,DPoS,288090567.493887,500000000.0,3.6431999638029593,1.487312663382962,0.08814040907183282,0,Lamden Tau
ECA,NIST5,PoW/PoS,28399150208.0,30000000000.0,0.17278307924094158,1.3903871466178128,-0.6123562632636296,0,Electra
BCD,X13,PoW/PoS,183534024.889807,210000000.0,-0.30474939902968395,1.6714564567478527,-0.5774495740229929,0,Bitcoin Diamond
XSH,Multiple,PoW,481730566.566176,660000000.0,-0.10181743607616033,-1.7253048090948062,0.3490220132095985,2,SHIELD
CNBC,Scrypt,PoW/PoS,110976977.29338,210000000.0,-0.3490182901928099,0.9414285202204169,-0.5540803268063306,0,Cash & Back Coin
XUN,CryptoNight,PoW,19281821413.4924,85000000000.0,1.1628196133927482,-2.267348623275854,0.4419596710571083,2,UltraNote
COAL,CryptoNight,PoW,4500000.0,12500000.0,0.32220338905283874,-2.245522273991586,0.4564080097223882,2,BitCoal
DAXX,Ethash,PoW,520891780.0,10000000000.0,-0.07290553915816517,-1.9843868460321004,0.39446555421102925,2,DaxxCoin
BWK,NIST5,PoS,13247178.8807286,27716121.0,-0.3099527605667397,1.3298993994577215,-0.3437456495405021,0,Bulwark
KLKS,Quark,PoS,16955764.902064,20000000.0,-0.3206876918715944,1.6203539147247175,-0.23443578617749253,0,Kalkulus
AC3,X11,PoW,80316207.0,550000000.0,-0.22009969726357345,-0.9344644891709178,0.11032638900563241,2,AC3
LTHN,CryptoNight-V7,PoW,441250233.377,999481516.0,-0.142426082792914,-2.1958705049297844,0.39289187385294544,2,Lethean
GER,Scrypt,PoW/PoS,4911500269.41,50000000000.0,0.06400067511542472,0.9254114233087658,-0.5603216763088569,0,GermanCoin
LTCU,Scrypt,PoW/PoS,8419402.321,150000000.0,-0.35070021862843764,0.941399680567035,-0.5540396709319273,0,LiteCoin Ultra
POP,Scrypt,PoW,3964201248.87125,4999999999.0,-0.0793354314990697,-1.1151497724763153,0.0028554267966466713,2,PopularCoin
PNX,X11,PoW/PoS,45174214.1078625,50000000.0,-0.4125353923146477,1.1224273482081442,-0.44831280797837214,0,PhantomX
PHO,BLAKE256,PoW,30089671530.5228,90000000000.0,1.0840664909572486,-1.1870605792771896,0.009682253736861744,2,Photon
SUCR,X11,PoW,4229040.50393462,19800000.0,-0.22480335459296244,-0.9343063481403604,0.11040140028907801,2,Sucre
SPK,NeoScrypt,PoW,7847417.33355824,21000000.0,-0.1811399965563332,-1.6364562488218162,0.24305346285485654,2,SparksPay
WAGE,Quark,PoS,27299680.0,120000000.0,-0.31984957493708416,1.620322094827984,-0.23444856201572692,0,Digiwage
GUN,NeoScrypt,PoW,299797953.0,500000000.0,-0.17415910775735427,-1.636488078452384,0.2429092684653662,2,GunCoin
IRL,Scrypt,PoW,45483049.3398182,64000000.0,-0.1624106181838578,-1.1152745821016379,0.004652979983611142,2,IrishCoin
TROLL,Scrypt,PoW/PoS,591022748.0,900000000.0,-0.33823431951933397,0.9414122642963331,-0.5543084084192053,0,Trollcoin
LCP,Scrypt,PoW/PoS,2504486.227718,4000000.0,-0.3518114447933903,0.9414507079485074,-0.5540241638778789,0,Litecoin Plus
MONK,X11,PoS,4407252.0,21000000.0,-0.33535164437497345,1.0649716498577486,-0.1921724805997144,0,Monkey Project
PCOIN,X11,PoW,8478104.33969947,23000000.0,-0.22472858923008338,-0.9343054172707528,0.11039964993072908,2,Pioneer Coin
UBTC,SHA-256,PoW,20166000.0,20166000.0,-0.1505339317542105,-1.3385401743345255,0.2040998184739691,2,UnitedBitcoin
ITZ,C11,PoW,11916588.09471,23000000.0,-0.2239713108705211,-1.2382708253871104,0.09247485586037263,2,Interzone
TPAY,POS 3.0,PoS,20445861.5344251,25000000.0,-0.3107956529669857,1.695829554067042,-0.1185218382783614,0,TokenPay
MCT,Ethash,PoS,1618033.0,1618033.0,-0.26096118815651786,0.018329152737509034,0.0929929047824299,0,1717 Masonic Commemorative Token
